Ano;Cultura;Espécie;Estado;Área..ha.
31/12/2006;Eucalipto;Eucalipto;Minas Gerais;1181429
31/12/2006;Eucalipto;Eucalipto;São Paulo;915841
31/12/2006;Eucalipto;Eucalipto;Mato Grosso do Sul;119319
31/12/2006;Eucalipto;Eucalipto;Bahia;540172
31/12/2006;Eucalipto;Eucalipto;Rio Grande do Sul;184245
31/12/2006;Eucalipto;Eucalipto;Espírito Santo;207800
31/12/2006;Eucalipto;Eucalipto;Maranhão;93285
31/12/2006;Eucalipto;Eucalipto;Paraná;121908
31/12/2006;Eucalipto;Eucalipto;Mato Grosso;113770
31/12/2006;Eucalipto;Eucalipto;Pará;115806
31/12/2006;Eucalipto;Eucalipto;Goiás;98765
31/12/2006;Eucalipto;Eucalipto;Tocantins;13901
31/12/2006;Eucalipto;Eucalipto;Santa Catarina;70341
31/12/2006;Eucalipto;Eucalipto;Amapá;58473
31/12/2006;Eucalipto;Eucalipto;Piauí;NA
31/12/2006;Eucalipto;Eucalipto;Outros;27491
31/12/2007;Eucalipto;Eucalipto;Minas Gerais;1218212
31/12/2007;Eucalipto;Eucalipto;São Paulo;911908
31/12/2007;Eucalipto;Eucalipto;Mato Grosso do Sul;207687
31/12/2007;Eucalipto;Eucalipto;Bahia;550127
31/12/2007;Eucalipto;Eucalipto;Rio Grande do Sul;222245
31/12/2007;Eucalipto;Eucalipto;Espírito Santo;208819
31/12/2007;Eucalipto;Eucalipto;Maranhão;106802
31/12/2007;Eucalipto;Eucalipto;Paraná;123070
31/12/2007;Eucalipto;Eucalipto;Mato Grosso;114854
31/12/2007;Eucalipto;Eucalipto;Pará;126286
31/12/2007;Eucalipto;Eucalipto;Goiás;102032
31/12/2007;Eucalipto;Eucalipto;Tocantins;21655
31/12/2007;Eucalipto;Eucalipto;Santa Catarina;74008
31/12/2007;Eucalipto;Eucalipto;Amapá;58874
31/12/2007;Eucalipto;Eucalipto;Piauí;NA
31/12/2007;Eucalipto;Eucalipto;Outros;31588
31/12/2008;Eucalipto;Eucalipto;Minas Gerais;1278210
31/12/2008;Eucalipto;Eucalipto;São Paulo;1001080
31/12/2008;Eucalipto;Eucalipto;Mato Grosso do Sul;265250
31/12/2008;Eucalipto;Eucalipto;Bahia;587610
31/12/2008;Eucalipto;Eucalipto;Rio Grande do Sul;277320
31/12/2008;Eucalipto;Eucalipto;Espírito Santo;210410
31/12/2008;Eucalipto;Eucalipto;Maranhão;111120
31/12/2008;Eucalipto;Eucalipto;Paraná;142430
31/12/2008;Eucalipto;Eucalipto;Mato Grosso;132922
31/12/2008;Eucalipto;Eucalipto;Pará;136290
31/12/2008;Eucalipto;Eucalipto;Goiás;113177
31/12/2008;Eucalipto;Eucalipto;Tocantins;31920
31/12/2008;Eucalipto;Eucalipto;Santa Catarina;77440
31/12/2008;Eucalipto;Eucalipto;Amapá;63310
31/12/2008;Eucalipto;Eucalipto;Piauí;NA
31/12/2008;Eucalipto;Eucalipto;Outros;27580
31/12/2009;Eucalipto;Eucalipto;Minas Gerais;1300000
31/12/2009;Eucalipto;Eucalipto;São Paulo;1029670
31/12/2009;Eucalipto;Eucalipto;Mato Grosso do Sul;290890
31/12/2009;Eucalipto;Eucalipto;Bahia;628440
31/12/2009;Eucalipto;Eucalipto;Rio Grande do Sul;271980
31/12/2009;Eucalipto;Eucalipto;Espírito Santo;204570
31/12/2009;Eucalipto;Eucalipto;Maranhão;137360
31/12/2009;Eucalipto;Eucalipto;Paraná;157920
31/12/2009;Eucalipto;Eucalipto;Mato Grosso;147378
31/12/2009;Eucalipto;Eucalipto;Pará;139720
31/12/2009;Eucalipto;Eucalipto;Goiás;115286
31/12/2009;Eucalipto;Eucalipto;Tocantins;44310
31/12/2009;Eucalipto;Eucalipto;Santa Catarina;100140
31/12/2009;Eucalipto;Eucalipto;Amapá;62880
31/12/2009;Eucalipto;Eucalipto;Piauí;NA
31/12/2009;Eucalipto;Eucalipto;Outros;28380
31/12/2006;Pinus;Pinus;Paraná;686453
31/12/2006;Pinus;Pinus;Santa Catarina;530992
31/12/2006;Pinus;Pinus;Rio Grande do Sul;181378
31/12/2006;Pinus;Pinus;São Paulo;214491
31/12/2006;Pinus;Pinus;Minas Gerais;146000
31/12/2006;Pinus;Pinus;Goiás;14409
31/12/2006;Pinus;Pinus;Mato Grosso do Sul;28500
31/12/2006;Pinus;Pinus;Bahia;54820
31/12/2006;Pinus;Pinus;Espírito Santo;4408
31/12/2006;Pinus;Pinus;Tocantins;NA
31/12/2006;Pinus;Pinus;Amapá;20490
31/12/2006;Pinus;Pinus;Mato Grosso;7
31/12/2006;Pinus;Pinus;Maranhão;NA
31/12/2006;Pinus;Pinus;Pará;149
31/12/2006;Pinus;Pinus;Piauí;NA
31/12/2006;Pinus;Pinus;Outros;4189
31/12/2007;Pinus;Pinus;Paraná;701578
31/12/2007;Pinus;Pinus;Santa Catarina;548037
31/12/2007;Pinus;Pinus;Rio Grande do Sul;182378
31/12/2007;Pinus;Pinus;São Paulo;209621
31/12/2007;Pinus;Pinus;Minas Gerais;143395
31/12/2007;Pinus;Pinus;Goiás;13828
31/12/2007;Pinus;Pinus;Mato Grosso do Sul;20697
31/12/2007;Pinus;Pinus;Bahia;41221
31/12/2007;Pinus;Pinus;Espírito Santo;4093
31/12/2007;Pinus;Pinus;Tocantins;700
31/12/2007;Pinus;Pinus;Amapá;9000
31/12/2007;Pinus;Pinus;Mato Grosso;7
31/12/2007;Pinus;Pinus;Maranhão;NA
31/12/2007;Pinus;Pinus;Pará;101
31/12/2007;Pinus;Pinus;Piauí;NA
31/12/2007;Pinus;Pinus;Outros;NA
31/12/2008;Pinus;Pinus;Paraná;714890
31/12/2008;Pinus;Pinus;Santa Catarina;551220
31/12/2008;Pinus;Pinus;Rio Grande do Sul;173160
31/12/2008;Pinus;Pinus;São Paulo;172480
31/12/2008;Pinus;Pinus;Minas Gerais;145000
31/12/2008;Pinus;Pinus;Goiás;15200
31/12/2008;Pinus;Pinus;Mato Grosso do Sul;18800
31/12/2008;Pinus;Pinus;Bahia;35090
31/12/2008;Pinus;Pinus;Espírito Santo;3990
31/12/2008;Pinus;Pinus;Tocantins;850
31/12/2008;Pinus;Pinus;Amapá;1620
31/12/2008;Pinus;Pinus;Mato Grosso;10
31/12/2008;Pinus;Pinus;Maranhão;NA
31/12/2008;Pinus;Pinus;Pará;10
31/12/2008;Pinus;Pinus;Piauí;NA
31/12/2008;Pinus;Pinus;Outros;NA
31/12/2009;Pinus;Pinus;Paraná;695790
31/12/2009;Pinus;Pinus;Santa Catarina;550850
31/12/2009;Pinus;Pinus;Rio Grande do Sul;171210
31/12/2009;Pinus;Pinus;São Paulo;167660
31/12/2009;Pinus;Pinus;Minas Gerais;140000
31/12/2009;Pinus;Pinus;Goiás;15200
31/12/2009;Pinus;Pinus;Mato Grosso do Sul;16870
31/12/2009;Pinus;Pinus;Bahia;31040
31/12/2009;Pinus;Pinus;Espírito Santo;3940
31/12/2009;Pinus;Pinus;Tocantins;850
31/12/2009;Pinus;Pinus;Amapá;810
31/12/2009;Pinus;Pinus;Mato Grosso;10
31/12/2009;Pinus;Pinus;Maranhão;NA
31/12/2009;Pinus;Pinus;Pará;NA
31/12/2009;Pinus;Pinus;Piauí;NA
31/12/2009;Pinus;Pinus;Outros;490
31/12/2010;Eucalipto;Eucalipto;Minas Gerais;1400000
31/12/2010;Eucalipto;Eucalipto;São Paulo;1044813
31/12/2010;Eucalipto;Eucalipto;Mato Grosso do Sul;378195
31/12/2010;Eucalipto;Eucalipto;Bahia;631464
31/12/2010;Eucalipto;Eucalipto;Rio Grande do Sul;273042
31/12/2010;Eucalipto;Eucalipto;Espírito Santo;203885
31/12/2010;Eucalipto;Eucalipto;Paraná;161422
31/12/2010;Eucalipto;Eucalipto;Maranhão;151403
31/12/2010;Eucalipto;Eucalipto;Mato Grosso;150646
31/12/2010;Eucalipto;Eucalipto;Pará;148656
31/12/2010;Eucalipto;Eucalipto;Goiás;116439
31/12/2010;Eucalipto;Eucalipto;Tocantins;47542
31/12/2010;Eucalipto;Eucalipto;Santa Catarina;102399
31/12/2010;Eucalipto;Eucalipto;Amapá;49369
31/12/2010;Eucalipto;Eucalipto;Piauí;37025
31/12/2010;Eucalipto;Eucalipto;Outros;4650
31/12/2011;Eucalipto;Eucalipto;Minas Gerais;1401787
31/12/2011;Eucalipto;Eucalipto;São Paulo;1031677
31/12/2011;Eucalipto;Eucalipto;Mato Grosso do Sul;475528
31/12/2011;Eucalipto;Eucalipto;Bahia;607440
31/12/2011;Eucalipto;Eucalipto;Rio Grande do Sul;280198
31/12/2011;Eucalipto;Eucalipto;Espírito Santo;197512
31/12/2011;Eucalipto;Eucalipto;Paraná;188153
31/12/2011;Eucalipto;Eucalipto;Maranhão;165717
31/12/2011;Eucalipto;Eucalipto;Mato Grosso;175592
31/12/2011;Eucalipto;Eucalipto;Pará;151378
31/12/2011;Eucalipto;Eucalipto;Goiás;118636
31/12/2011;Eucalipto;Eucalipto;Tocantins;65502
31/12/2011;Eucalipto;Eucalipto;Santa Catarina;104686
31/12/2011;Eucalipto;Eucalipto;Amapá;50099
31/12/2011;Eucalipto;Eucalipto;Piauí;26493
31/12/2011;Eucalipto;Eucalipto;Outros;9314
31/12/2012;Eucalipto;Eucalipto;Minas Gerais;1438971
31/12/2012;Eucalipto;Eucalipto;São Paulo;1041695
31/12/2012;Eucalipto;Eucalipto;Mato Grosso do Sul;587310
31/12/2012;Eucalipto;Eucalipto;Bahia;605464
31/12/2012;Eucalipto;Eucalipto;Rio Grande do Sul;284701
31/12/2012;Eucalipto;Eucalipto;Espírito Santo;203349
31/12/2012;Eucalipto;Eucalipto;Paraná;197835
31/12/2012;Eucalipto;Eucalipto;Maranhão;173324
31/12/2012;Eucalipto;Eucalipto;Mato Grosso;184628
31/12/2012;Eucalipto;Eucalipto;Pará;159657
31/12/2012;Eucalipto;Eucalipto;Goiás;115567
